spliceSiteID,type,HG00096,HG00103,HG00106,HG00111,HG00116,HG00126,HG00132,HG00149,HG00150,HG00176
36,Donor,8,3,1,0,0,4,0,7,0,3
699,Acceptor,7,12,10,5,2,1,7,12,20,6
697,Acceptor,32,36,19,14,16,22,17,47,31,28
40,Donor,7,6,3,3,3,2,3,3,4,0
701,Acceptor,8,6,1,2,1,2,4,6,5,2
41,Donor,9,6,1,1,2,1,4,6,2,2
700,Acceptor,5,11,4,3,0,4,0,6,4,5
42,Donor,5,8,0,0,4,4,9,9,3,8
703,Acceptor,2,6,2,1,6,1,4,5,4,1
44,Donor,1,7,1,0,0,0,2,2,1,0
706,Acceptor,5,4,2,4,2,6,6,3,7,1
45,Donor,4,8,2,4,1,3,3,1,4,2
708,Acceptor,3,10,3,5,4,2,6,3,3,4
47,Donor,5,9,5,1,0,6,1,5,0,0
712,Acceptor,14,22,18,13,5,15,15,9,19,24
48,Donor,1,4,0,1,0,1,1,4,2,2
713,Acceptor,3,13,2,3,3,4,9,4,9,7
710,Acceptor,7,4,4,3,4,9,3,5,5,5
52,Donor,2,3,1,1,0,0,1,2,0,0
715,Acceptor,1,1,2,0,0,0,2,5,0,1
53,Donor,1,4,0,1,2,0,1,3,0,0
716,Acceptor,2,2,1,1,0,0,0,1,1,0
55,Donor,1,4,0,0,1,0,2,2,1,1
722,Acceptor,0,8,1,1,1,3,2,1,1,0
57,Donor,3,2,1,0,0,0,2,1,2,1
724,Acceptor,4,8,8,10,5,10,14,5,7,10
58,Donor,2,2,0,1,0,3,1,2,0,0
725,Acceptor,5,8,6,6,8,9,8,3,1,4
60,Donor,4,10,3,3,1,3,2,8,0,0
726,Acceptor,4,8,2,10,4,4,10,7,1,3
106,Donor,8,19,15,3,2,17,2,11,9,11
774,Acceptor,0,0,0,0,0,0,0,0,0,0
120,Donor,0,0,0,0,0,0,0,0,0,0
782,Acceptor,0,0,0,0,0,0,0,0,0,0
124,Donor,0,0,1,0,0,0,1,4,0,0
796,Acceptor,0,0,0,0,1,0,0,1,3,0
126,Donor,0,1,0,0,0,0,0,1,5,0
798,Acceptor,0,1,3,3,0,2,1,4,4,0
128,Donor,1,0,0,0,2,1,2,3,0,0
800,Acceptor,1,1,1,0,1,2,1,3,4,0
129,Donor,1,1,0,0,0,0,0,2,0,0
801,Acceptor,0,0,0,0,0,0,0,0,0,0
130,Donor,1,3,1,2,0,2,1,2,3,0
803,Acceptor,1,0,0,1,0,0,1,4,4,0
146,Donor,0,2,0,0,0,2,0,0,0,0
820,Acceptor,0,0,0,0,0,0,0,0,0,0
147,Donor,0,0,0,0,0,0,0,1,1,0
822,Acceptor,0,0,0,0,0,0,0,0,0,0
150,Donor,0,0,0,0,0,0,0,0,0,0
153,Donor,0,0,0,0,0,0,0,0,0,0
825,Acceptor,3,0,1,0,1,0,2,0,0,0
154,Donor,3,6,5,1,4,2,3,3,0,2
826,Acceptor,0,2,0,0,0,1,1,1,1,0
157,Donor,2,0,0,0,0,1,0,1,0,0
827,Acceptor,2,4,6,5,5,3,5,6,6,4
158,Donor,3,0,0,0,0,2,1,3,0,1
828,Acceptor,0,0,0,0,0,0,0,0,0,0
180,Donor,2,0,0,0,0,0,0,0,1,1
850,Acceptor,0,0,0,0,0,0,0,0,0,1
188,Donor,1,0,0,0,0,0,0,0,0,0
855,Acceptor,0,1,0,0,0,0,0,0,0,0
197,Donor,0,0,0,1,0,0,0,0,0,0
860,Acceptor,2,0,0,1,1,1,1,2,0,2
198,Donor,0,0,0,0,0,0,0,0,0,0
861,Acceptor,2,0,1,0,0,1,0,0,1,0
199,Donor,0,0,0,0,0,0,0,1,0,0
862,Acceptor,0,1,0,0,0,0,0,1,0,0
201,Donor,1,0,0,0,1,0,2,2,1,1
865,Acceptor,0,0,0,1,1,0,0,0,0,0
202,Donor,1,0,0,0,2,0,3,2,0,0
866,Acceptor,2,2,0,1,0,1,2,0,0,1
203,Donor,0,0,0,1,0,0,0,0,0,0
867,Acceptor,2,0,0,1,1,0,1,0,0,0
204,Donor,1,0,0,0,0,1,0,1,0,0
868,Acceptor,0,1,1,1,0,0,1,0,1,0
205,Donor,0,0,0,0,0,0,0,4,0,1
869,Acceptor,1,1,0,6,1,2,4,0,0,2
210,Donor,11,13,8,10,6,13,6,9,21,12
873,Acceptor,12,6,3,15,11,2,17,8,4,1
212,Donor,4,10,5,3,3,5,3,2,9,10
875,Acceptor,4,2,3,3,6,2,0,4,2,2
214,Donor,5,4,2,6,2,2,2,5,8,3
877,Acceptor,2,6,3,8,3,1,5,2,6,3
215,Donor,3,2,5,16,7,5,9,1,6,4
878,Acceptor,2,3,1,2,3,0,1,2,3,0
216,Donor,3,4,0,1,1,1,0,2,2,1
879,Acceptor,3,5,5,2,4,3,1,4,2,2
217,Donor,5,0,0,5,1,3,2,2,1,3
881,Acceptor,5,21,8,3,4,6,6,21,13,1
218,Donor,3,7,4,1,1,2,0,8,2,1
882,Acceptor,3,7,0,4,1,0,2,5,1,1
222,Donor,3,4,0,1,0,0,0,2,1,1
883,Acceptor,7,5,8,12,10,5,6,14,7,4
224,Donor,8,8,4,5,26,8,3,2,5,0
886,Acceptor,3,5,3,1,5,1,5,3,5,0
225,Donor,10,23,7,14,5,20,9,11,11,11
