HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
68.8331484454736	17.7801009131491	83.3358604760257	14.276366061079	23.2662129177993	35.7801584533907	37.7532974529098	47.2687270695379	23.84302557423	34.6286821354431
92.2799630011094	18.4001693148242	73.3058185501196	51.709854686763	56.7543560156814	89.7216101363521	14.6512188412144	183.439463931662	53.4614907036128	102.133548624292
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	21.9937594293302	6.87236019675026	8.82984191726988	8.22286012315872	3.40458480138155	0	21.9265560578718	9.83117345824825	0
0	0	0	0	0	0	0	0	0	0
10698.868349289	7253.55300292643	10086.2032302578	11563.982335584	8991.18198852955	11309.0566625745	5766.37908810483	7596.06236237607	8262.3650432337	13623.8446443251
0	0	0	0	3.05283926499331	0	0	0	0	0
2520.06438538253	1434.6653435619	2106.75226965067	2286.68329097028	3997.60791305493	3567.27024675286	3609.78560413224	3985.11951833768	2475.06504047008	2606.21849067813
0	0	0	0	0	0	0	0	0	0
9058.90201906963	10967.3846144764	8442.52015952577	7505.34648431531	7591.12445248695	7553.15110761487	9725.77577621697	5876.02701485406	9699.99166843459	12193.3596508719
0	0	0	0	0	0	0	0	0	0
8.38994405559119	55.6243721745669	96.8362878353922	82.945702200542	35.6510036377493	36.9022649422297	94.9096293266349	39.6102916176394	99.4560030742282	176.430504461556
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
7690.98009684832	6493.19336857471	5295.69919109667	3834.94940351813	8019.05318233795	6079.77749193493	8837.92856084552	7034.22112045417	6019.69501868941	12655.3317891932
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2.84730759092715	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5195.0414521947	4806.7336403807	4825.40765144726	3653.70903039878	5400.20712413557	5711.23035415801	4477.55487871194	5126.6202305162	3949.93105253167	5437.88108849408
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
25.0919521987464	35.6478816896294	77.9719169006172	30.5313427733099	13.3277598931008	35.3165594171546	22.7078308649996	9.47705526771291	14.8722402585858	55.5425042799005
0	0	0	0	0	0	0	0	0	0
745.465244666061	823.724924698711	742.080295717426	695.760797167771	719.925272589065	705.449235091053	1051.98700654768	1258.47456564582	549.914550186346	831.315963459665
4.44274900940653	4.20784560217026	11.833378304882	0	0	0	0	0	0	0
