HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176
0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
2	0	0	1	0	0	0	2	0	0
2	0	0	1	0	0	0	2	0	0
0	0	0	1	0	0	0	0	0	0
0	0	0	1	0	1	0	0	0	0
0	0	0	0	0	1	4	0	2	0
0	0	0	0	0	1	4	0	2	0
0	0	0	1	0	1	4	0	3	0
0	0	0	1	0	0	1	0	2	0
0	0	1	2	0	0	3	0	1	0
0	0	2	1	1	1	0	0	2	4
0	1	1	1	1	1	0	1	0	1
0	0	3	1	1	0	0	0	1	2
8	4	8	4	1	11	7	4	10	3
11	5	12	8	6	24	11	10	16	4
9	4	8	7	2	14	10	6	11	3
8	4	8	4	1	15	7	4	11	4
2	2	1	5	0	1	1	1	7	1
5	2	4	4	5	13	4	6	6	1
3	2	3	1	5	9	3	6	7	0
4	2	5	5	5	13	5	7	11	1
4	1	4	4	5	13	4	6	6	1
1	0	0	4	1	7	3	2	2	3
1	0	0	4	1	8	3	2	2	1
1	0	0	4	1	7	3	2	2	1
0	1	0	0	0	1	0	0	0	0
0	0	0	0	1	7	1	0	0	1
0	1	0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	2	0	0	0	0	0	2	2
0	0	0	0	0	0	0	0	1	1
0	0	2	0	0	0	0	0	1	2
0	1	1	0	0	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0
1	0	2	0	0	1	0	0	0	0
1	0	0	0	0	0	1	0	0	0
0	0	3	0	0	0	1	0	0	1
0	0	3	0	0	0	1	0	0	1
0	0	2	0	0	1	0	1	1	0
0	0	0	0	0	1	0	2	0	0
0	0	0	0	0	1	0	0	0	1
0	0	1	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0
77	73	49	22	35	84	37	98	69	80
70	56	46	14	28	80	27	95	54	76
77	69	56	19	31	81	35	107	74	83
102	93	65	28	44	104	44	142	87	105
171	188	160	116	144	228	192	200	191	222
23	30	24	11	11	16	15	46	39	29
77	74	49	22	36	84	38	98	69	80
102	135	115	102	118	151	166	107	140	148
23	29	24	11	10	15	15	46	37	28
23	29	24	11	10	15	15	46	37	28
92	107	104	100	96	108	126	112	94	114
84	101	103	98	95	106	122	106	89	112
186	234	218	200	213	255	287	213	227	259
213	251	237	219	232	247	298	244	243	249
111	139	116	103	120	151	169	113	140	149
122	150	131	117	131	137	175	135	144	138
135	158	134	121	141	145	185	147	160	145
122	150	131	117	131	137	175	135	144	138
129	150	134	121	137	141	176	138	155	137
106	117	90	122	139	124	150	123	94	107
160	203	149	146	189	213	225	166	208	209
164	215	153	153	193	217	231	169	215	213
160	203	149	146	189	213	225	166	208	209
230	238	191	184	245	310	318	233	264	292
160	207	149	147	190	212	228	167	209	209
112	151	121	117	183	143	223	116	139	166
126	173	139	130	188	158	238	125	158	190
157	218	172	188	246	182	303	158	184	229
174	185	161	151	227	229	308	169	192	240
112	151	121	118	183	143	223	116	139	166
159	175	169	148	236	182	286	184	192	218
162	225	198	181	302	234	338	197	226	280
104	110	91	103	105	119	167	95	97	137
98	90	86	100	100	112	154	91	86	127
113	95	92	107	116	134	165	110	94	141
98	90	86	100	100	112	154	91	86	127
0	1	0	5	0	3	2	2	3	0
47	25	48	36	54	40	63	68	53	53
0	0	0	2	0	1	2	0	0	0
0	1	0	0	0	0	0	0	1	3
47	25	48	34	54	40	63	68	53	53
49	28	49	35	54	40	65	71	56	53
96	100	124	93	173	129	173	148	140	165
56	78	79	67	130	101	119	93	90	119
54	76	78	66	129	101	118	89	86	119
143	187	174	139	284	270	273	202	236	259
94	111	98	75	162	179	158	120	153	145
89	107	95	72	155	166	157	114	149	141
95	116	98	75	163	179	162	122	154	146
89	107	95	73	155	166	157	114	149	141
94	111	98	75	162	179	158	120	153	145
82	101	90	84	123	122	142	95	122	124
104	95	90	86	129	119	167	110	89	108
205	217	203	197	289	248	329	231	213	258
102	90	90	85	128	116	165	107	89	107
108	132	120	111	168	139	164	126	124	152
108	132	120	111	168	139	164	126	124	152
112	143	123	121	173	143	175	134	125	156
108	132	120	111	168	139	164	126	124	152
108	132	120	111	168	139	164	126	124	152
108	132	120	111	168	139	164	126	124	152
108	132	120	111	168	139	164	126	124	152
106	133	119	117	169	138	172	125	125	155
0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	0	0	0	2	0
1	2	1	0	1	0	0	1	0	0
1	0	0	1	2	0	2	1	2	0
1	0	1	1	1	1	0	2	2	0
1	0	1	0	1	1	1	1	1	1
1	0	1	0	1	1	1	1	1	1
1	0	1	0	1	1	1	1	1	1
