"","intron_motif","startID","endID","maxCount","quantileValueN","passedExpression","passed","maxDJaccard","passedVariability","b_jaccard","rho_jaccard","hgnc_symbol","annotatedJunction"
"1",NA,1,661,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000008334415,NA,"none"
"2","GT-AG",2,662,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000040097874,NA,"none"
"3","GT-AG",3,663,2,2,FALSE,FALSE,0.666666666666667,TRUE,-0.239789527279837,0.98799231020692,"BTG3-AS1","start"
"4","GT-AG",3,664,2,2,FALSE,FALSE,0.666666666666667,TRUE,0.239789527279837,0.9879923102926,"BTG3-AS1","both"
"5","GT-AG",4,665,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000076326028,"BTG3-AS1","both"
"6","GT-AG",5,666,1,1,FALSE,FALSE,0,FALSE,0.479579054559674,0.499999991665977,"AP000745.1;CHODL","none"
"7","GT-AG",6,667,3,3.1,FALSE,FALSE,0.416666666666667,TRUE,-0.136180334111159,0.00615360878273035,"CHODL","start"
"8","GT-AG",6,668,1,3.1,FALSE,FALSE,0.666666666666667,TRUE,-0.436019923162936,0.988917350403547,"CHODL","start"
"9","GT-AG",6,669,1,3.55,FALSE,FALSE,0.1875,TRUE,-0.647850964220857,0.00339203862462654,"CHODL","both"
"10","GT-AG",7,669,1,1.55,FALSE,FALSE,0.5,TRUE,1.82076576038526e-16,0.00933024147272504,"CHODL","end"
"11","GT-AG",8,670,3,2.55,FALSE,FALSE,0,FALSE,1.12743001878053,0.977806119511708,"CHODL","both"
"12","GT-AG",9,671,4,3.1,FALSE,FALSE,0,FALSE,1.69963027605463,0.981280209332052,"CHODL","both"
"13","GT-AG",10,672,1,1,FALSE,FALSE,0,FALSE,1.67852669095886,0.499999873396515,"CHODL","both"
"14","GT-AG",11,673,3,2.55,FALSE,FALSE,0,FALSE,1.36721954606037,0.982607972777295,"CHODL","both"
"15","GT-AG",12,674,10,10.55,FALSE,FALSE,0.578409090909091,TRUE,3.02462437048271,0.00200681089861698,"LINC01684","both"
"16","GT-AG",12,675,1,20.4,FALSE,FALSE,0.0818181818181818,TRUE,-4.30545885245427,0.00630954168276685,"LINC01684","start"
"17","GT-AG",12,676,2,12.65,FALSE,FALSE,0.6,TRUE,-3.76637403504384,0.48679760325941,"LINC01684","start"
"18","GT-AG",12,677,1,13.2,FALSE,FALSE,0.06,TRUE,-3.75641565448939,0.00154267868592415,"LINC01684","start"
"19","GT-AG",13,678,1,6.1,FALSE,FALSE,0.388888888888889,TRUE,-2.01839818737575,0.135405622635826,"LINC01684","end"
"20","GT-AG",13,675,4,9.84999999999999,FALSE,FALSE,0.738974358974359,TRUE,-1.67855204242122,0.403960836791621,"LINC01684","end"
"21","GT-AG",14,678,5,8.1,FALSE,FALSE,0.661375661375661,TRUE,-1.14186585657031,0.190841328159358,"LINC01684","both"
"22","GT-AG",14,675,9,12.1,FALSE,FALSE,0.611158841158841,TRUE,-0.600309367802523,0.176322712318873,"LINC01684","end"
"23","GT-AG",15,675,3,9.84999999999999,FALSE,FALSE,0.726923076923077,TRUE,-1.47430830673959,0.00126839536413241,"LINC01684","both"
"24","GT-AG",16,676,3,5.65,FALSE,FALSE,0.709821428571429,TRUE,0.859682005278778,0.0195542791818213,"LINC01684","start"
"25","GT-AG",16,677,4,6.2,FALSE,FALSE,0.75,TRUE,-1.25899769817112,0.0872839436640187,"LINC01684","both"
"26","GT-AG",16,679,1,5.65,FALSE,FALSE,0.21875,TRUE,-2.20154897070552,0.0381079974760922,"LINC01684","start"
"27","GT-AG",17,680,1,1,FALSE,FALSE,0.5,TRUE,2.1316282072803e-16,0.499999961226043,"LINC01684","none"
"28","GT-AG",18,681,7,4.29999999999999,FALSE,FALSE,0,FALSE,1.14563656954364,0.986302099993239,"LINC01684","both"
"29","GT-AG",19,680,1,1,FALSE,FALSE,0.5,TRUE,2.1316282072803e-16,0.499999968985046,"LINC01684","none"
"30",NA,20,682,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000040097874,NA,"none"
"31","GT-AG",21,683,1,2,FALSE,FALSE,0.333333333333333,TRUE,-0.608904487544685,0.0383744395098674,"LINC00189;BACH1;GAPDHP14","start"
"32","GT-AG",21,684,1,1,FALSE,FALSE,0.5,TRUE,1.77635683940025e-16,0.500000150938037,"LINC00189;BACH1;GAPDHP14","both"
"33","GT-AG",22,683,2,2,FALSE,FALSE,0.333333333333333,TRUE,0.544241771052179,0.0145420993568365,"LINC00189;BACH1;GAPDHP14","none"
"34","GT-AG",23,685,1,1,FALSE,FALSE,0.5,TRUE,1.73194791841524e-16,0.499999947750721,"TPT1P1;HUNK","none"
"35","GT-AG",24,685,1,1,FALSE,FALSE,0.5,TRUE,1.73194791841524e-16,0.500000099977659,"HUNK","none"
