HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176
0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	2	0	0
0	0	0	1	0	0	0	0	0	0
0	0	0	1	0	1	0	0	0	0
0	0	0	0	0	0	3	0	1	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	1	0	1	0
0	0	0	1	0	0	0	0	1	0
0	0	1	2	0	0	3	0	1	0
0	0	2	1	1	1	0	0	2	4
0	1	1	1	1	1	0	1	0	1
0	0	3	1	1	0	0	0	1	2
7	4	8	4	1	10	7	4	10	1
1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2
0	0	0	0	0	1	0	0	0	0
1	1	0	0	0	0	0	0	0	0
1	0	0	4	0	1	0	0	2	1
0	1	1	1	0	0	1	1	5	0
2	0	2	0	5	9	2	5	2	0
0	1	2	0	0	3	2	1	2	0
1	0	0	3	1	3	3	2	1	0
0	0	0	0	0	4	0	0	1	1
0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	1	7	1	0	0	1
0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1	0
0	0	2	0	0	0	0	0	1	1
0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
1	0	2	0	0	1	0	0	0	0
1	0	0	0	0	0	1	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	2	0	0	0	1	0	0	1
0	0	2	0	0	1	0	1	1	0
0	0	0	0	0	1	0	2	0	0
0	0	0	0	0	1	0	0	0	1
0	0	1	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	0	0
16	16	14	6	7	14	7	34	17	21
45	36	30	8	19	60	20	51	36	51
1	1	1	0	2	2	0	2	1	1
0	1	0	0	0	0	1	0	0	0
0	1	0	0	0	1	0	0	2	1
0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1
0	0	0	0	1	0	0	0	0	0
77	95	100	95	92	103	119	102	84	112
0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	1	0
96	121	110	99	115	143	165	99	133	141
1	0	0	0	0	0	0	0	1	0
116	142	131	117	127	133	166	126	139	130
0	0	0	0	0	0	0	0	1	0
11	2	1	3	4	7	6	7	11	6
100	106	87	118	137	118	142	118	86	106
0	0	2	1	2	1	0	1	1	2
156	195	145	140	186	208	222	164	202	205
0	0	0	1	0	0	0	0	1	0
0	0	0	0	0	1	0	0	0	0
1	2	1	2	0	2	0	0	4	0
0	0	0	0	0	0	0	0	0	1
96	132	111	106	167	119	208	93	131	152
3	7	3	0	2	3	4	0	2	3
8	1	2	4	12	12	8	14	3	9
0	1	0	3	0	2	2	2	3	0
0	1	0	3	1	1	0	0	0	1
0	0	0	0	1	0	0	2	0	0
42	54	49	68	60	35	71	38	36	56
0	2	0	0	0	0	0	0	0	0
55	30	36	31	40	76	82	48	48	69
0	0	1	0	0	0	0	1	0	0
0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0	1	3
2	0	0	3	0	0	4	0	0	0
44	23	46	28	53	38	57	63	53	51
0	0	0	0	0	0	1	1	3	0
48	72	76	63	119	91	114	79	83	114
0	0	0	0	1	0	0	0	0	0
5	0	2	2	7	10	3	7	3	5
1	1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
88	102	95	72	154	166	153	112	148	140
0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	1	0
75	91	81	74	118	112	126	89	113	113
97	82	84	79	120	107	156	104	88	103
0	3	0	0	1	0	1	1	0	1
0	0	0	0	0	0	1	0	0	0
0	0	0	0	2	0	0	0	0	0
0	0	1	0	0	0	1	0	0	0
102	122	116	107	164	134	161	117	124	151
0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0
1	0	0	1	0	2	0	0	0	1
1	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	0	0	0	2	0
1	2	1	0	1	0	0	1	0	0
1	0	0	1	2	0	2	1	2	0
1	0	1	1	1	1	0	2	2	0
0	0	0	0	0	0	1	0	0	0
1	0	0	0	0	1	0	1	1	1
0	0	1	0	1	0	0	0	0	0
