"HG00096","HG00103","HG00106","HG00111","HG00116","HG00126","HG00132","HG00149","HG00150","HG00176"
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0.958904581378698,1,1,1,1,1,1
1,1,1,0.9589045813787,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.816026929512113,1,1,1
1,1,1,1,1,0.866315258544248,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0.926467338506609,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.434592270830658,1,1,1,1,0.883788459159714,1,1,1,0.161088239074113
0.281677824117095,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0.194036054886698
1,1,1,1,1,0.565221192239686,1,1,1,1
0.504796356663358,0.471377221254136,1,1,1,1,1,1,1,1
0.563834558415157,1,1,0.0523124283827779,1,1,1,0.808556275691073,0.511180826104577,0.646053285179772
1,1,1,0.420894163551218,1,0.45236879260715,0.814916490758254,1,0.196500201606365,1
0.843020317114143,1,0.386237865459485,0.298873281250483,1,0.186381594808326,1,0.318348277771218,0.943593847205899,1
0.76919038693696,1,1,1,1,1,0.236724323733129,1,0.869299654388287,1
1,1,1,0.982132728102314,1,0.515105369119507,1,0.210489656147866,1,0.659696160870672
1,1,1,1,1,0.457881291097478,1,0.390832535580426,0.985627811339086,1
1,1,1,0.656610894235845,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.924428142914298,1
1,1,1,1,1,1,1,1,0.970658194201656,1
1,1,0.985496403722127,1,1,1,1,1,1,1
1,1,0.904495425788873,1,1,1,1,1,1,1
1,1,0.904495425788873,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0.313169011755138,1,1,1,1
1,1,1,1,1,1,1,0.447114561664381,1,1
0.779177892842364,1,0.988891263356195,0.505859600399024,1,0.172211246696339,1,0.273564225552892,0.912461572575759,0.842402325776859
0.819285730867543,0.78812879970919,0.718437056025642,0.255305720952645,1,0.0386146599128569,0.720239493233269,0.18376750159525,0.888181818794041,0.651474329169849
0.87572697634181,0.839746574956431,1,1,0.216185888454162,0.685885131304846,1,1,1,0.500494976622683
1,0.824718778488825,1,1,1,1,0.641226124291291,1,1,1
1,0.892925580125343,1,1,1,0.708559738261434,1,1,0.11103687041857,0.703335837130528
1,1,1,1,0.678128681906287,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0.438487803538985
1,1,1,1,0.663493158020683,1,1,1,1,1
0.0455518621198458,1,0.431809469350894,0.808539786957658,1,0.875640335788267,0.645675220759483,0.176532099723412,0.265829890030561,0.612726760678274
1,1,1,1,1,1,1,0.416765995022419,1,1
1,1,1,1,1,0.265510244919166,1,1,1,1
1,1,1,1,1,1,1,1,0.240833223629679,1
0.0344730410065404,0.316411878461486,0.536806725697421,0.876466706153167,0.647466942342375,0.806472290997965,0.529900376417555,0.25891324164015,0.694506318099041,0.637707889102704
0.275452976123385,1,1,1,1,1,1,1,0.308138169661337,1
0.176057979869207,0.350207328256426,0.105925285003868,0.22597482466833,1,1,0.488294596558568,0.320633608179457,0.278233222914015,0.991497855007016
1,1,1,1,1,1,1,1,0.25214371625375,1
0.0447277139154753,1,0.382929378655344,0.974097098388695,0.436315304484971,0.521605485453205,0.813747956227114,0.786791096431758,0.130673836900235,1
0.791645564270646,0.642619259887705,0.510124863124348,0.780174129990504,1,0.711729330003055,1,0.406374281701459,0.0822641886549203,0.747976357201668
1,1,0.118762406515724,0.57896539037205,0.743745464110978,1,1,0.788429064177174,1,0.558081871711454
0.904156878083117,0.66054563940147,0.939509992529481,0.120981910603382,0.964321025571335,0.761250632980489,0.256383441505411,0.719165347424374,0.570610335559863,0.895792668147942
1,1,1,0.251327463912979,1,1,1,1,0.323540759329825,1
1,1,1,1,1,0.29613361772051,1,1,1,1
0.799333220559185,0.47217180930567,1,0.207480515193495,1,0.330056007225663,1,1,0.0634040303326239,1
1,1,1,1,1,1,1,1,1,0.603717528256764
0.119087471073014,0.855929795412446,0.522077835689789,0.735662458325808,0.86905230682076,0.223397072267095,0.392671228680944,0.609350488501604,0.305489699427418,0.497477393460419
0.419703130536339,0.387909170634093,0.55926072717613,0.355757412058271,0.549794696852875,0.343505515107536,0.94870397327714,0.938721514580754,0.884790378946406,0.122289572278568
0.209772567189736,1,0.913348264579602,1,0.341077216160014,0.177591875301875,0.786308372972186,0.106975694987509,0.606953347989172,0.358800204906408
1,1,1,0.0799262434486606,1,0.307383363305009,0.517288709119146,0.172254497783739,0.125101496230193,1
1,0.426637090166363,1,0.0187441647138969,0.804049726935759,0.527710229897895,1,1,1,0.629443271257353
1,1,1,1,0.651827447300329,1,1,0.0966733153863189,1,1
0.473504384390028,0.679591673563416,0.305621819609542,0.0726130143651688,0.603810203588945,0.11686881094374,0.312102569982093,0.993838577673972,0.507764588922603,0.893696432317529
1,0.232763299252151,1,1,1,1,1,1,1,1
0.424270739913329,0.358899035807314,0.7131556597883,0.15864784096388,0.369325166877753,0.136455204010768,0.209919605420079,0.717093438938273,0.435293754089542,0.953785534621764
1,1,0.335191325698887,1,1,1,1,0.505703819535231,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0.202445181364239,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.260225678541984,1,1,0.0735430380411217,1,1,0.406110682632501,1,1,1
0.930415651804955,1,0.469853017370833,0.0691373996187228,0.930172210334984,0.810050338387821,0.619522190795362,0.126028783999684,0.687390546835274,1
1,1,1,1,1,1,0.373707794361293,0.384479616554454,0.0299339781508477,1
0.14395342367167,0.866145160607299,0.418885070834383,0.975788471785958,0.81150914250194,0.539556880761018,0.485962468773887,0.101202887095818,1,0.232552913278084
1,1,1,1,0.765962382485913,1,1,1,1,1
0.130656820243931,1,0.682847608063705,0.936548737049048,0.0901305609138576,0.124721961179957,0.857401075917448,0.661080586670443,0.990509172606479,0.327060992895522
0.282801766900702,0.86713089167722,1,1,1,1,1,1,1,1
1,0.638076024821931,1,1,1,1,1,1,1,1
0.677156500313241,0.118487091651669,0.25880098121471,0.728702681028088,0.631096679544047,0.467579778509688,0.986543158152724,0.221244897034955,0.413600886341072,0.843794266947423
1,1,1,1,1,1,0.17670289684025,1,1,1
1,1,1,1,1,1,1,1,0.294025356895339,1
1,0.528359504409908,1,0.35261002654556,0.533923635103645,1,0.395472310315612,0.873735053567148,0.777696921591053,0.440536464567021
1,0.170123001941819,1,0.765930041014028,0.536680891658138,0.121438143678823,0.62020319850113,0.773164120374919,0.0566582232110134,0.93174081914249
1,0.0213340946858671,1,1,0.59815627801284,1,0.655860342228859,0.637691606066864,1,0.69402649016711
1,1,1,1,1,1,0.543895409390236,1,1,1
1,1,1,1,0.351879521906275,1,1,1,1,1
1,1,0.300415130507412,1,1,1,0.523574356516518,1,1,1
0.657822683311976,0.319781364111758,0.906909575305514,0.273492366282326,0.868021573220478,0.917320470240879,1,0.0397331413219064,0.0781564208820107,1
1,1,1,1,0.750615052587412,1,1,1,1,1
1,1,1,1,1,1,1,0.389002280055052,1,1
0.352660389481537,1,1,0.361005076291569,1,0.084688729890871,1,1,1,0.748594801379345
0.206317699184343,1,1,1,1,1,1,1,1,1
1,1,0.264645438399233,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.859517555674845,1,0.51926681350301,1,1,1,1,1,1,1
1,1,0.44503213494868,1,0.925006833712976,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0.636389057271875,1,1
1,1,1,1,1,1,1,0.636389062140127,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.78027275449172,1
1,1,1,1,1,1,1,1,0.945662791266545,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0.965738362097066,1,0.709235039350279,1,1
1,1,1,1,1,1,1,1,1,0.544938322431538
1,1,1,0.997994101741805,1,0.575680831546264,1,0.722819351897279,1,1
1,1,1,1,1,0.428788810529828,1,0.88060875820363,1,0.94656581500813
1,1,1,1,1,1,1,1,1,0.93796670039849
1,1,1,1,1,0.694040994309711,1,1,1,0.74488618640593
1,1,1,1,1,1,1,1,1,0.629614290287142
1,1,1,0.931090020451543,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0.439023109964336,0.999976825963384,1,1,1
1,1,0.785381260533371,1,1,0.551437011121922,0.925302258778525,1,1,1
1,1,0.39221734506207,1,1,1,1,1,1,1
1,1,0.904495425788873,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.143914800965843,0.448971850360893,0.627021699295672,0.951498968027511,1,1,0.995916414208009,1,0.689007029268486,1
0.143914794272041,0.448971839713454,0.627021699295654,0.951498949476885,1,1,0.995916440563241,1,0.689007028253166,1
1,1,0.331796644118163,1,1,1,1,1,1,1
1,1,1,1,0.890266431984906,1,1,1,1,1
1,1,1,1,0.950959410096044,0.495938467596104,1,1,1,1
1,1,1,1,1,0.0718714958603267,0.813187482035088,1,1,1
1,0.367503533170961,0.832477826210185,0.345205662653788,1,1,1,1,0.466666084945912,0.514250614412564
1,1,1,1,1,1,1,1,1,0.43031371723017
0.536338283163803,0.228328685278774,1,1,1,1,1,1,0.121229168041106,1
0.49099047150782,0.231913445382314,0.730998266951214,0.49383289549364,0.505618571483451,0.346402443168501,0.660582610314674,0.167649343372619,0.183695144752178,0.883067733006832
1,0.288076170709882,1,1,0.38962015654723,0.0431954844200553,1,1,1,1
1,1,1,1,1,1,1,0.362883144672467,1,1
0.379280059644445,0.768604618701135,0.540366866048272,0.924138505710763,0.768179712049529,0.103089562195524,1,1,0.355536731498206,1
0.142696686349781,0.149168945659662,0.89565359272987,0.334706680770751,0.329182402309247,0.229659984907341,0.716765352028746,0.637657087080082,0.279807820780786,0.971220313970655
1,1,1,0.284680197872177,1,1,1,1,1,1
0.999897613162902,0.29567807368216,0.483428059517788,0.90586675834946,1,0.193299652235648,0.618909340303415,0.685851146102858,0.568864745406145,1
1,1,1,1,1,1,1,1,1,0.420376780530587
1,1,1,1,1,1,1,1,0.279324309666673,1
1,1,0.3150002793802,1,1,1,1,1,1,1
0.223746951674788,1,1,1,1,1,1,1,1,1
0.947366544192285,1,0.280220781496611,1,1,0.544316459037482,0.124501488751395,1,1,0.0789467511471892
0.789861718301572,0.396488763876071,0.408304887586143,0.716343063253871,1,0.249405096615393,0.124250060675802,1,0.318435728440736,0.602505560506364
1,1,1,1,1,1,0.440063113142279,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0.913799790808841,0.926260156943018,0.659466927372146,0.162390990650361,0.185539834750411,0.714185534725717,1,0.180459897318144,1
1,0.895521719082517,0.911658768651155,0.865636361290351,0.533790915977356,0.196136909164336,1,1,0.822942305770925,1
1,1,1,1,0.546763870067703,0.5870991528706,1,1,0.299777646100564,1
1,1,1,1,1,1,1,1,1,1
0.0814996886561925,0.157144758459256,0.562273724701575,0.940962709809932,0.250554165840491,0.612455863936814,0.423879624513901,0.46814386740486,0.437575655767621,1
1,0.882993189205748,1,1,1,1,1,1,1,1
1,1,1,1,0.553323384151112,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.884517919014985,0.0384094310911396,0.643292405719475,1,0.843061659447784,0.253732829225535,1,1,0.275673252418675,0.878017161872327
1,1,1,1,1,1,1,1,0.259916027858978,1
1,1,1,1,1,1,1,1,1,0.386118730181332
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.408853439510406,1,1,1,1,1
1,1,1,1,1,1,1,0.888437963048922,1,1
0.836000311210005,1,0.594523625342927,1,0.428459310764235,1,0.778027627205387,0.0791474154711079,0.29287785805295,1
1,1,1,1,1,1,1,0.324840264206286,0.826102137505482,1
1,1,1,1,1,0.448912381412311,1,1,1,1
1,1,1,0.182212269243753,1,1,1,1,1,1
0.764032021893466,1,0.766163023048752,0.0881110828517491,1,1,0.987673149695191,0.36191122428631,0.191302764398154,1
0.31086396213907,1,1,1,1,1,1,1,1,1
0.808060621496108,0.857187081259741,1,0.715106005488983,0.236612016606417,0.669145956807741,1,0.0946120164639195,0.730705156571542,1
0.380935581943118,0.403026930775913,1,1,1,1,1,0.391407405713016,0.927804836916731,1
1,1,1,0.31765725619271,1,1,1,1,1,1
0.931130730859481,0.979461170963986,0.355083297635577,0.400813864003847,1,1,0.871196284976385,0.0946041546742694,0.404459946296658,1
1,1,1,1,1,1,0.735551586126323,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0.949785358624392,1,1,1,1,1,0.889899108336763,1
1,1,1,1,1,1,1,1,0.927715505438751,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0.84974172250175,1,1,1,0.899313410255406,1,1
1,1,1,0.849741722170857,1,1,1,0.899313410748037,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0.405147241070214,1,0.269617556569243,1,0.195165169108957,1,1,1,1
1,1,1,0.143439234817529,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.36169392197297,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0.229205826066517,0.416430826621881,0.77569440009039,0.692033643571128,0.444401402849047,0.736850848879255,0.893976615796541,0.0459943801948341,0.258652918579601
0.274696502001422,1,0.487390693571003,1,1,1,1,0.633750536535663,1,1
1,1,1,1,0.527899020853555,1,1,1,1,1
0.579537224751864,0.315941733487102,0.623559558862077,0.534031915525961,0.728138814181704,0.353116050805809,0.894126829942965,0.831976089349862,0.0386293000916966,0.340000869198341
0.986344640592317,0.125434904082976,0.689381435209763,0.411731050263978,0.171756670032666,0.711549371733528,0.92311556535423,0.685615195736797,0.222473243584502,1
1,1,1,1,0.608060402082947,1,1,1,1,1
1,1,1,0.698906654069265,1,1,1,1,1,1
0.602023505596246,0.952192830639177,0.679963972069742,1,0.973201359630193,1,1,0.712121068666998,0.531514186880659,0.794786226182086
1,1,1,1,1,1,0.435658164740738,0.330433344394777,1,1
1,1,1,1,1,1,1,1,0.104656847793927,1
1,1,1,0.251251215427369,1,1,1,1,1,1
1,1,1,1,1,1,0.162575684385842,1,0.0389444054879042,0.390447369074369
0.161282550472982,0.964128820819093,0.439787883050948,0.951639928208659,1,1,0.174462504071911,0.51241435026576,0.685190710890072,0.649410093659314
1,1,1,0.386471921523926,1,0.990296135532556,1,1,1,0.846543771759617
1,1,1,1,1,1,0.41944255271348,1,1,0.32280107512619
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.980836558925892,1
1,0.964975732909077,1,1,1,1,1,1,1,1
0.878506546902839,1,0.850884798906913,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.998210994608588,1,0.889276609059461,0.382092218493465,0.735508906195195,1
0.794653675170537,1,0.646528459408603,0.515131348141568,1,1,1,1,0.51799999055298,1
1,1,1,1,1,0.87916145494562,1,1,0.386357549366428,0.471622170209315
1,1,1,0.60841262903865,0.909026139260453,0.260752070194533,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0.451360965713005,1,1,1,1,0.37714612666132,1
1,1,1,0.445694805572993,1,1,1,1,0.422468308989906,1
1,1,1,0.486798278732454,1,1,1,0.938498550133355,0.557195705274296,1
1,1,1,0.424139069787684,1,1,1,1,1,1
1,1,1,0.350982559789169,1,1,1,1,1,1
1,1,1,0.328971265359619,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0.645175514203947
1,1,1,1,1,1,1,1,1,1
0.173453804415662,1,1,1,1,1,1,1,1,1
0.224728126017647,1,1,1,0.999662464349026,1,1,1,1,1
0.492503877764244,1,1,1,0.701650486949677,1,1,1,1,0.891613862891322
1,1,1,1,1,1,1,1,1,1
0.124546872816235,1,1,1,1,1,1,1,0.375320147618233,0.163160691388928
1,0.697151528433234,0.390180691606836,1,0.841140866451586,0.496153506137529,0.82940457417914,0.585818356857757,1,0.0453451330779998
1,0.721294397707548,0.87796086819504,1,1,0.565042398154964,0.72969762080933,0.788360255403395,1,0.0553767402102749
1,1,1,1,0.788739834207149,1,1,1,1,1
1,1,0.286460707321195,1,1,1,1,1,1,0.589668460307085
1,1,1,0.936674247984268,1,1,1,0.96710438857893,0.493375881067268,0.54424108978166
1,1,1,0.936674249055249,1,1,1,0.967104388370062,0.493375885714127,0.544241097655759
1,1,1,1,0.737353391899679,1,1,1,1,1
1,1,1,1,0.737353391896095,1,1,1,1,1
0.287016896799099,0.978682115963281,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.395202897835693,1,1,1,0.561878102785403,1,1,1,1,1
0.39520289791302,1,1,1,0.561878103013965,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0.645175510737126
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0.563865501808492,1,1,1,1,1,1,1
1,1,0.563865489570343,1,1,1,1,1,1,1
0.26458708894176,1,1,0.236189341565124,0.780615401114705,1,1,0.854902434528367,0.416193702311751,0.380419175281514
0.0640326045215624,1,0.701296779787555,1,1,0.581708036833891,1,1,0.277977346487149,1
1,1,1,1,1,1,1,1,0.340033620145366,1
1,0.559019203364531,1,1,1,1,1,0.193163821972783,0.570545198054441,1
0.234469632037936,1,1,1,1,1,1,1,1,1
0.234469627972934,1,1,1,1,1,1,1,1,1
1,1,1,1,0.397845312867033,0.555337721897466,0.286125399990584,0.547483867609857,0.375349596250362,0.824305364607859
1,1,1,1,1,1,1,1,0.272154838052568,1
0.34700880176449,0.511707573215616,0.875540690184044,0.951392740017151,1,0.874816343093518,0.350462934041747,0.284264848197555,1,1
0.265692154957034,1,1,0.232752884905008,0.829812983070391,1,1,1,1,1
0.86688647753616,0.6328593393646,1,0.953434876324568,1,1,1,0.46060574284513,1,1
1,0.70147374232033,1,0.124513443072861,0.762234453142884,0.741445497625586,0.215687236768833,0.174181369555717,0.661795385724921,0.384594803407902
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0.0580944867855983,1,1,0.303786133851031,1
1,1,1,1,0.539697627023198,1,1,1,1,1
1,0.603810041493438,0.819469951188537,0.400485075220172,0.690507615069569,1,0.681806414319522,0.447052985802908,0.411496197491712,0.808386760023744
1,1,1,0.387324936237966,1,1,1,1,1,1
0.355659688084088,0.206238857123445,0.977904232591934,0.345667603192451,0.292995286070901,1,0.391785186161275,0.189941516399003,1,0.386236927079991
1,1,1,1,1,1,0.481193958710058,1,1,1
