HG00096,HG00103,HG00106,HG00111,HG00116,HG00126,HG00132,HG00149,HG00150,HG00176,seqnames,start,end,width,strand,startID,endID,intron_motif,startID,endID,maxCount,quantileValueN,passedExpression,passed,maxDJaccard,passedVariability,b_jaccard,rho_jaccard
0,0,0,0,1,0,0,0,0,0,chr21,15743530,15743531,2,+,1,661,,1,661,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000008334415
0,0,1,0,0,0,0,0,0,0,chr21,15755333,15765642,10310,+,2,662,GT-AG,2,662,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000040097874
2,0,0,0,0,0,0,0,0,0,chr21,18984406,18985600,1195,+,3,663,GT-AG,3,663,2,2,FALSE,FALSE,0.666666666666667,TRUE,-0.239789527279837,0.98799231020692
0,0,0,1,0,0,0,2,0,0,chr21,18984406,18999210,14805,+,3,664,GT-AG,3,664,2,2,FALSE,FALSE,0.666666666666667,TRUE,0.239789527279837,0.987992310292601
0,0,0,1,0,0,0,0,0,0,chr21,18999368,19005466,6099,+,4,665,GT-AG,4,665,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000076326028
0,0,0,1,0,1,0,0,0,0,chr21,19191932,19289536,97605,+,5,666,GT-AG,5,666,1,1,FALSE,FALSE,0,FALSE,0.479579054559674,0.499999991665978
0,0,0,0,0,0,3,0,1,0,chr21,19289718,19400186,110469,+,6,667,GT-AG,6,667,3,3.1,FALSE,FALSE,0.416666666666667,TRUE,-0.136180334111159,0.00615360878273035
0,0,0,0,0,1,0,0,0,0,chr21,19289718,19596832,307115,+,6,668,GT-AG,6,668,1,3.1,FALSE,FALSE,0.666666666666667,TRUE,-0.436019923162936,0.988917350403547
0,0,0,0,0,0,1,0,1,0,chr21,19289718,19628825,339108,+,6,669,GT-AG,6,669,1,3.55,FALSE,FALSE,0.1875,TRUE,-0.647850964220857,0.00339203862462654
0,0,0,1,0,0,0,0,1,0,chr21,19614025,19628825,14801,+,7,669,GT-AG,7,669,1,1.55,FALSE,FALSE,0.5,TRUE,1.82076576038526e-16,0.00933024147272504
0,0,1,2,0,0,3,0,1,0,chr21,19629136,19629286,151,+,8,670,GT-AG,8,670,3,2.55,FALSE,FALSE,0,FALSE,1.12743001878053,0.977806119511708
0,0,2,1,1,1,0,0,2,4,chr21,19629445,19632516,3072,+,9,671,GT-AG,9,671,4,3.1,FALSE,FALSE,0,FALSE,1.69963027605463,0.981280209332052
